batch_id,txn_ref,merchant_ref,currency,gross,fee,net,settled_on
DMO-NU-BATCH-20260705,DMO-NU-0001,DMO-MC-0001,IDR,35936014,1242144,34693870,2026-07-05
DMO-NU-BATCH-20260710,DMO-NU-0004,DMO-MC-0004,IDR,85901017,1259010,84642007,2026-07-10
DMO-NU-BATCH-20260710,DMO-NU-0007,DMO-MC-0007,IDR,1812509,127188,1685321,2026-07-10
DMO-NU-BATCH-20260724,DMO-NU-0010,DMO-MC-0010,IDR,67683749,2162829,65520920,2026-07-24
DMO-NU-BATCH-20260722,DMO-NU-0013,DMO-MC-0013,IDR,68857257,1088573,67768684,2026-07-22
DMO-NU-BATCH-20260721,DMO-NU-0016,DMO-MC-0016,IDR,42205397,733081,41472316,2026-07-21
DMO-NU-BATCH-20260708,DMO-NU-0019,DMO-MC-0019,IDR,59148620,1915310,57233310,2026-07-08
DMO-NU-BATCH-20260720,DMO-NU-0022,DMO-MC-0022,IDR,58079994,980800,57099194,2026-07-20
DMO-NU-BATCH-20260706,DMO-NU-0025,DMO-MC-0025,IDR,35980720,639711,35341009,2026-07-06
DMO-NU-BATCH-20260716,DMO-NU-0028,DMO-MC-0028,IDR,72033697,2288977,69744720,2026-07-16
DMO-NU-BATCH-20260724,DMO-NU-0031,DMO-MC-0031,IDR,58825941,988259,57837682,2026-07-24
DMO-NU-BATCH-20260721,DMO-NU-0034,DMO-MC-0034,IDR,21362451,420437,20942014,2026-07-21
DMO-NU-BATCH-20260718,DMO-NU-0037,DMO-MC-0037,IDR,31365078,1109587,30255491,2026-07-18
DMO-NU-BATCH-20260718,DMO-NU-0040,DMO-MC-0040,IDR,46599274,865993,45733281,2026-07-18
DMO-NU-BATCH-20260705,DMO-NU-0043,DMO-MC-0043,IDR,37542005,663130,36878875,2026-07-05
DMO-NU-BATCH-20260710,DMO-NU-0046,DMO-MC-0046,IDR,27241928,990016,26251912,2026-07-10
DMO-NU-BATCH-20260720,DMO-NU-0049,DMO-MC-0049,IDR,9378590,493786,8884804,2026-07-20
DMO-NU-BATCH-20260710,DMO-NU-0052,DMO-MC-0052,IDR,12879495,293192,12586303,2026-07-10
DMO-NU-BATCH-20260707,DMO-NU-0055,DMO-MC-0055,IDR,57865959,1878113,55987846,2026-07-07
DMO-NU-BATCH-20260714,DMO-NU-0058,DMO-MC-0058,IDR,87385084,1273851,86111233,2026-07-14
DMO-NU-BATCH-20260722,,,IDR,47428271,1575420,45852851,2026-07-22
DMO-NU-BATCH-20260728,DMO-ORPH-NU-1,DMO-ORPH-REF-1,IDR,4061119,160917,3900202,2026-07-28
