transaction_id,merchant_reference,processor,payment_method,status,currency,captured_amount_minor,capture_date
DMO-NU-0001,DMO-MC-0001,NUSAPAY,credit_card,CAPTURED,IDR,35936014,2026-07-02T09:00:00.000Z
DMO-SI-0002,DMO-MC-0002,SIAMLINK,credit_card,CAPTURED,THB,65582,2026-07-12T09:00:00.000Z
DMO-ME-0003,DMO-MC-0003,MEKONGPAY,credit_card,CAPTURED,VND,15307373,2026-07-18T09:00:00.000Z
DMO-NU-0004,DMO-MC-0004,NUSAPAY,bank_transfer,CAPTURED,IDR,85901017,2026-07-03T09:00:00.000Z
DMO-SI-0005,DMO-MC-0005,SIAMLINK,bank_transfer,CAPTURED,THB,97846,2026-07-20T09:00:00.000Z
DMO-ME-0006,DMO-MC-0006,MEKONGPAY,bank_transfer,CAPTURED,VND,14942027,2026-07-05T09:00:00.000Z
DMO-NU-0007,DMO-MC-0007,NUSAPAY,e_wallet,CAPTURED,IDR,1812509,2026-07-08T09:00:00.000Z
DMO-SI-0008,DMO-MC-0008,SIAMLINK,e_wallet,CAPTURED,THB,445494,2026-07-09T09:00:00.000Z
DMO-ME-0009,DMO-MC-0009,MEKONGPAY,e_wallet,CAPTURED,VND,9377927,2026-07-13T09:00:00.000Z
DMO-NU-0010,DMO-MC-0010,NUSAPAY,credit_card,CAPTURED,IDR,67683749,2026-07-21T09:00:00.000Z
DMO-SI-0011,DMO-MC-0011,SIAMLINK,credit_card,CAPTURED,THB,22302,2026-07-21T09:00:00.000Z
DMO-ME-0012,DMO-MC-0012,MEKONGPAY,credit_card,CAPTURED,VND,9627803,2026-07-10T09:00:00.000Z
DMO-NU-0013,DMO-MC-0013,NUSAPAY,bank_transfer,CAPTURED,IDR,68857257,2026-07-15T09:00:00.000Z
DMO-SI-0014,DMO-MC-0014,SIAMLINK,bank_transfer,CAPTURED,THB,308030,2026-07-02T09:00:00.000Z
DMO-ME-0015,DMO-MC-0015,MEKONGPAY,bank_transfer,CAPTURED,VND,10439604,2026-07-09T09:00:00.000Z
DMO-NU-0016,DMO-MC-0016,NUSAPAY,e_wallet,CAPTURED,IDR,42205397,2026-07-19T09:00:00.000Z
DMO-SI-0017,DMO-MC-0017,SIAMLINK,e_wallet,CAPTURED,THB,234426,2026-07-06T09:00:00.000Z
DMO-ME-0018,DMO-MC-0018,MEKONGPAY,e_wallet,CAPTURED,VND,18367485,2026-07-11T09:00:00.000Z
DMO-NU-0019,DMO-MC-0019,NUSAPAY,credit_card,CAPTURED,IDR,59148620,2026-07-05T09:00:00.000Z
DMO-SI-0020,DMO-MC-0020,SIAMLINK,credit_card,CAPTURED,THB,217497,2026-07-11T09:00:00.000Z
DMO-ME-0021,DMO-MC-0021,MEKONGPAY,credit_card,CAPTURED,VND,10481440,2026-07-06T09:00:00.000Z
DMO-NU-0022,DMO-MC-0022,NUSAPAY,bank_transfer,CAPTURED,IDR,58079994,2026-07-13T09:00:00.000Z
DMO-SI-0023,DMO-MC-0023,SIAMLINK,bank_transfer,CAPTURED,THB,166560,2026-07-01T09:00:00.000Z
DMO-ME-0024,DMO-MC-0024,MEKONGPAY,bank_transfer,CAPTURED,VND,17027293,2026-07-21T09:00:00.000Z
DMO-NU-0025,DMO-MC-0025,NUSAPAY,e_wallet,CAPTURED,IDR,35980720,2026-07-04T09:00:00.000Z
DMO-SI-0026,DMO-MC-0026,SIAMLINK,e_wallet,CAPTURED,THB,458085,2026-07-04T09:00:00.000Z
DMO-ME-0027,DMO-MC-0027,MEKONGPAY,e_wallet,CAPTURED,VND,15731008,2026-07-14T09:00:00.000Z
DMO-NU-0028,DMO-MC-0028,NUSAPAY,credit_card,CAPTURED,IDR,72033697,2026-07-13T09:00:00.000Z
DMO-SI-0029,DMO-MC-0029,SIAMLINK,credit_card,CAPTURED,THB,91967,2026-07-19T09:00:00.000Z
DMO-ME-0030,DMO-MC-0030,MEKONGPAY,credit_card,CAPTURED,VND,14591988,2026-07-14T09:00:00.000Z
DMO-NU-0031,DMO-MC-0031,NUSAPAY,bank_transfer,CAPTURED,IDR,58825941,2026-07-17T09:00:00.000Z
DMO-SI-0032,DMO-MC-0032,SIAMLINK,bank_transfer,CAPTURED,THB,196148,2026-07-03T09:00:00.000Z
DMO-ME-0033,DMO-MC-0033,MEKONGPAY,bank_transfer,CAPTURED,VND,1929464,2026-07-11T09:00:00.000Z
DMO-NU-0034,DMO-MC-0034,NUSAPAY,e_wallet,CAPTURED,IDR,21362451,2026-07-19T09:00:00.000Z
DMO-SI-0035,DMO-MC-0035,SIAMLINK,e_wallet,CAPTURED,THB,398629,2026-07-15T09:00:00.000Z
DMO-ME-0036,DMO-MC-0036,MEKONGPAY,e_wallet,CAPTURED,VND,9997775,2026-07-09T09:00:00.000Z
DMO-NU-0037,DMO-MC-0037,NUSAPAY,credit_card,CAPTURED,IDR,31365078,2026-07-15T09:00:00.000Z
DMO-SI-0038,DMO-MC-0038,SIAMLINK,credit_card,CAPTURED,THB,257537,2026-07-04T09:00:00.000Z
DMO-ME-0039,DMO-MC-0039,MEKONGPAY,credit_card,CAPTURED,VND,16115308,2026-07-19T09:00:00.000Z
DMO-NU-0040,DMO-MC-0040,NUSAPAY,bank_transfer,CAPTURED,IDR,46599274,2026-07-11T09:00:00.000Z
DMO-SI-0041,DMO-MC-0041,SIAMLINK,bank_transfer,CAPTURED,THB,445029,2026-07-21T09:00:00.000Z
DMO-ME-0042,DMO-MC-0042,MEKONGPAY,bank_transfer,CAPTURED,VND,16707872,2026-07-17T09:00:00.000Z
DMO-NU-0043,DMO-MC-0043,NUSAPAY,e_wallet,CAPTURED,IDR,37542005,2026-07-03T09:00:00.000Z
DMO-SI-0044,DMO-MC-0044,SIAMLINK,e_wallet,CAPTURED,THB,465304,2026-07-02T09:00:00.000Z
DMO-ME-0045,DMO-MC-0045,MEKONGPAY,e_wallet,CAPTURED,VND,10278529,2026-07-16T09:00:00.000Z
DMO-NU-0046,DMO-MC-0046,NUSAPAY,credit_card,CAPTURED,IDR,27241928,2026-07-07T09:00:00.000Z
DMO-SI-0047,DMO-MC-0047,SIAMLINK,credit_card,CAPTURED,THB,91685,2026-07-19T09:00:00.000Z
DMO-ME-0048,DMO-MC-0048,MEKONGPAY,credit_card,CAPTURED,VND,16837500,2026-07-16T09:00:00.000Z
DMO-NU-0049,DMO-MC-0049,NUSAPAY,bank_transfer,CAPTURED,IDR,9378590,2026-07-13T09:00:00.000Z
DMO-SI-0050,DMO-MC-0050,SIAMLINK,bank_transfer,CAPTURED,THB,263608,2026-07-18T09:00:00.000Z
DMO-ME-0051,DMO-MC-0051,MEKONGPAY,bank_transfer,CAPTURED,VND,7095116,2026-07-09T09:00:00.000Z
DMO-NU-0052,DMO-MC-0052,NUSAPAY,e_wallet,CAPTURED,IDR,12879495,2026-07-08T09:00:00.000Z
DMO-SI-0053,DMO-MC-0053,SIAMLINK,e_wallet,CAPTURED,THB,398345,2026-07-20T09:00:00.000Z
DMO-ME-0054,DMO-MC-0054,MEKONGPAY,e_wallet,CAPTURED,VND,8833449,2026-07-06T09:00:00.000Z
DMO-NU-0055,DMO-MC-0055,NUSAPAY,credit_card,CAPTURED,IDR,57865959,2026-07-04T09:00:00.000Z
DMO-SI-0056,DMO-MC-0056,SIAMLINK,credit_card,CAPTURED,THB,464005,2026-07-01T09:00:00.000Z
DMO-ME-0057,DMO-MC-0057,MEKONGPAY,credit_card,CAPTURED,VND,18813535,2026-07-13T09:00:00.000Z
DMO-NU-0058,DMO-MC-0058,NUSAPAY,bank_transfer,CAPTURED,IDR,87402515,2026-07-07T09:00:00.000Z
DMO-SI-0059,DMO-MC-0059,SIAMLINK,bank_transfer,CAPTURED,THB,289619,2026-07-08T09:00:00.000Z
DMO-ME-0060,DMO-MC-0060,MEKONGPAY,bank_transfer,CAPTURED,VND,14486986,2026-07-04T09:00:00.000Z
DMO-NU-0061,DMO-MC-0061,NUSAPAY,e_wallet,CAPTURED,IDR,27898849,2026-07-09T09:00:00.000Z
DMO-SI-0062,DMO-MC-0062,SIAMLINK,e_wallet,CAPTURED,THB,357957,2026-07-09T09:00:00.000Z
DMO-ME-0063,DMO-MC-0063,MEKONGPAY,e_wallet,CAPTURED,VND,9898303,2026-07-11T09:00:00.000Z
DMO-NU-0064,DMO-MC-0064,NUSAPAY,credit_card,CAPTURED,IDR,63002041,2026-07-14T09:00:00.000Z
DMO-SI-0065,DMO-MC-0065,SIAMLINK,credit_card,CAPTURED,THB,178287,2026-07-30T09:00:00.000Z
DMO-ME-0066,DMO-MC-0066,MEKONGPAY,credit_card,CAPTURED,VND,18355096,2026-07-28T09:00:00.000Z
DMO-NU-0067,DMO-MC-0067,NUSAPAY,bank_transfer,CAPTURED,IDR,3623521,2026-07-30T09:00:00.000Z
DMO-SI-0068,DMO-MC-0068,SIAMLINK,bank_transfer,CAPTURED,THB,461112,2026-07-25T09:00:00.000Z
DMO-ME-0069,DMO-MC-0069,MEKONGPAY,bank_transfer,CAPTURED,VND,14366733,2026-07-24T09:00:00.000Z
DMO-NU-0070,DMO-MC-0070,NUSAPAY,e_wallet,CAPTURED,IDR,20312776,2026-07-29T09:00:00.000Z
DMO-SI-0071,DMO-MC-0071,SIAMLINK,e_wallet,CAPTURED,THB,225749,2026-07-30T09:00:00.000Z
DMO-ME-0072,DMO-MC-0072,MEKONGPAY,e_wallet,CAPTURED,VND,3341980,2026-07-29T09:00:00.000Z
DMO-NU-0073,DMO-MC-0073,NUSAPAY,credit_card,CAPTURED,IDR,75966899,2026-07-28T09:00:00.000Z
DMO-SI-0074,DMO-MC-0074,SIAMLINK,credit_card,CAPTURED,THB,256795,2026-07-30T09:00:00.000Z
DMO-ME-0075,DMO-MC-0075,MEKONGPAY,credit_card,CAPTURED,VND,17682815,2026-07-29T09:00:00.000Z
DMO-NU-0076,DMO-MC-0076,NUSAPAY,bank_transfer,CAPTURED,IDR,29900680,2026-07-24T09:00:00.000Z
DMO-SI-0077,DMO-MC-0077,SIAMLINK,bank_transfer,CAPTURED,THB,257679,2026-07-29T09:00:00.000Z
DMO-ME-0078,DMO-MC-0078,MEKONGPAY,bank_transfer,CAPTURED,VND,7315559,2026-07-29T09:00:00.000Z
DMO-NU-0079,DMO-MC-0079,NUSAPAY,e_wallet,CAPTURED,IDR,81983155,2026-07-29T09:00:00.000Z
DMO-SI-0080,DMO-MC-0080,SIAMLINK,e_wallet,CAPTURED,THB,57811,2026-07-30T09:00:00.000Z
DMO-ME-0081,DMO-MC-0081,MEKONGPAY,e_wallet,CAPTURED,VND,11275725,2026-07-30T09:00:00.000Z
DMO-NU-0082,DMO-MC-0082,NUSAPAY,credit_card,CAPTURED,IDR,15862198,2026-07-28T09:00:00.000Z
DMO-SI-0083,DMO-MC-0083,SIAMLINK,credit_card,CAPTURED,THB,72231,2026-07-28T09:00:00.000Z
DMO-ME-0084,DMO-MC-0084,MEKONGPAY,credit_card,CAPTURED,VND,4092937,2026-07-30T09:00:00.000Z
DMO-NU-0085,DMO-MC-0085,NUSAPAY,bank_transfer,CAPTURED,IDR,67873328,2026-07-25T09:00:00.000Z
